date,citations,readers
10-2017,1,6
07-2017,0,2
07-2017,0,13
07-2017,0,7
07-2017,0,12
07-2017,1,7
07-2017,0,1
07-2017,1,6
07-2017,0,5
07-2017,0,5
07-2017,0,0
07-2017,0,13
07-2017,0,5
07-2017,0,24
07-2017,0,14
07-2017,0,3
07-2017,0,9
07-2017,0,4
04-2017,0,0
04-2017,1,20
04-2017,0,1
04-2017,3,8
04-2017,1,10
04-2017,1,0
04-2017,0,9
04-2017,0,3
04-2017,0,11
01-2017,1,4
01-2017,1,4
01-2017,0,9
01-2017,0,7
01-2017,1,36
01-2017,2,9
01-2017,3,16
10-2016,16,30
10-2016,5,55
10-2016,1,29
10-2016,1,4
10-2016,1,14
10-2016,3,0
10-2016,3,5
10-2016,0,18
07-2016,0,10
07-2016,7,7
07-2016,0,8
07-2016,13,34
07-2016,0,11
07-2016,8,14
07-2016,4,18
07-2016,0,0
07-2016,0,2
07-2016,2,45
07-2016,1,17
07-2016,0,5
07-2016,1,8
07-2016,1,3
07-2016,0,0
07-2016,0,6
07-2016,1,7
07-2016,0,1
04-2016,1,8
04-2016,3,9
04-2016,2,1
04-2016,3,8
04-2016,11,30
04-2016,0,0
04-2016,29,53
04-2016,1,9
01-2016,0,4
01-2016,4,0
01-2016,1,7
01-2016,7,27
01-2016,1,1
11-2015,10,35
11-2015,61,83
11-2015,4,0
11-2015,2,22
11-2015,0,0
11-2015,7,13
11-2015,7,15
11-2015,0,13
11-2015,2,18
11-2015,3,6
11-2015,1,0
11-2015,1,0
11-2015,8,7
11-2015,5,3
09-2015,5,0
09-2015,8,0
09-2015,10,25
09-2015,1,5
09-2015,1,0
09-2015,10,24
09-2015,12,10
09-2015,25,0
09-2015,6,27
09-2015,5,8
09-2015,2,12
09-2015,12,26
09-2015,2,0
09-2015,12,28
09-2015,0,0
09-2015,4,20
09-2015,9,1
09-2015,10,12
09-2015,0,1
09-2015,5,6
09-2015,5,26
09-2015,2,2
09-2015,5,15
09-2015,4,24
06-2015,0,4
06-2015,0,5
06-2015,4,13
06-2015,0,9
06-2015,6,12
06-2015,1,11
06-2015,4,5
06-2015,2,24
06-2015,3,4
06-2015,2,17
06-2015,2,16
06-2015,7,3
06-2015,1,7
06-2015,4,0
06-2015,2,37
06-2015,2,15
06-2015,0,6
06-2015,19,17
06-2015,0,1
06-2015,2,1
06-2015,3,12
04-2015,6,72
04-2015,1,18
04-2015,24,27
04-2015,9,36
04-2015,7,0
04-2015,5,4
04-2015,8,30
04-2015,1,20
04-2015,0,0
04-2015,11,1
04-2015,4,0
04-2015,2,25
04-2015,35,54
03-2015,29,31
03-2015,0,11
03-2015,36,22
03-2015,4,4
03-2015,12,21
03-2015,5,2
12-2014,1,0
12-2014,15,17
12-2014,5,4
12-2014,0,8
12-2014,4,6
12-2014,0,7
12-2014,8,10
12-2014,6,0
12-2014,10,13
12-2014,5,2
12-2014,4,3
12-2014,6,5
12-2014,6,11
10-2014,4,12
10-2014,0,19
10-2014,0,3
10-2014,7,8
10-2014,0,44
07-2014,6,28
07-2014,2,0
07-2014,14,3
07-2014,1,6
07-2014,0,42
07-2014,4,1
07-2014,6,0
12-2013,5,16
12-2013,6,12
12-2013,0,10
12-2013,61,92
12-2013,1,9
12-2013,7,13
12-2013,1,5
12-2013,6,4
08-2013,4,63
08-2013,6,12
08-2013,10,15
08-2013,22,64
08-2013,16,16
08-2013,6,7
08-2013,6,8
08-2013,11,10
08-2013,0,0
02-2013,2,29
02-2013,6,37
02-2013,9,23
02-2013,15,25
02-2013,8,8
02-2013,2,6
02-2013,1,7
02-2013,11,45
02-2013,2,1
